text,bank,sentiment,label,,bank,sentiment,label
"Thank you @RevolutApp 

Welcome to #SHIBARMY!

BEST APP IF YOU NEVER BEFORE BOUGHT CRYPTO :-) https://t.co/GEFfAfvNFJ",Revolut,positive,crpyto,,Revolut,positive,activism
"Superb, sobering article on shameful, systemic fraud prevention and customer protection failings @LloydsBank #StopTheScammers  https://t.co/qOJDW2rk3q",Lloyds,negative,fraud,,Lloyds,negative,service - digital
"After many years of only banking with @HSBC_UK , that’s it. I have had enough. I just wanted to speak to a human but  many hours of internet nonsense &amp; visits in person to my local branch &amp; a parking tkt has given me reason to bid farewell … Tatty Bye",HSBC,negative,service - general,,HSBC,neutral,service - general
Just grabbed another 10’000’000 $SHIB on that @RevolutApp 🚀🚀 https://t.co/FebROUuhif,Revolut,positive,crpyto,,NatWest,,crpyto
@shibainuart @ShytoshiKusama @RevolutApp Love the Shib and the @RevolutApp #Shiberse #ShibaArmy https://t.co/LRXBKNGx6x,Revolut,positive,crpyto,,Monzo,,fraud
"@RevolutApp Being one of the 15 million users of #Revolut that holds #BabyDoge 

When can we expect @BabyDogeCoin to be available on @RevolutApp 👀🐕

Yours truly #BabyDogeArmy 💫 https://t.co/o4dNG9TH7m",Revolut,negative,crpyto,,Barclays,,general
Just caught @RevolutApp storing my card information even after deleting it. @TheFCA do we have something to protect us against this? Against holding our unwanted data? https://t.co/7oyqL2ZPt5,Revolut,negative,service - digital,,Santander,,investors
$SHIB: Digital Bank Revolut Quietly Brings Shiba Inu to Millions of Users | Cryptoglobe.AMP (amp version) - ‘Never Settle’ $SHIB- The Best in Your Wallet 💳💳💳💳💳✅✅✅⁦@RevolutApp⁩  https://t.co/q6whLjgXqg,Revolut,positive,crpyto,,Halifax,,inquiry
@NatWest_Help Can we do this through DM?,NatWest,neutral,service - general,,CoOp,,
"@GossipShib @RevolutApp Great job!
To the moon! https://t.co/Pz6YFWjeuf",Revolut,positive,crpyto,,TSB,,
"@NatWest_Help my child trust fund won't let me verify my bank details- it just says 'error try again later', I have tried contacting the help line but was left on hold for 4 hours until eventually they had to close for the night...",NatWest,neutral,service - digital,,,,
@RevolutApp @MRJoseSol Please friends don’t open the account here they are involved with the Haker I lost my money but nobody can help me on the help line if u guys not believe so I’ll show u the pic I lost 3000€ but they can’t help https://t.co/jczo4TecDi,Revolut,negative,crpyto,,,,
@DuncanGray @RevolutApp Did any of the free #SHIB promotions pan out?,Revolut,neutral,crpyto,,,,
@RevolutApp @FTC @10TV @hillarylake @DustinFox37 @Forbes @RevolutApp employee tried to fraudulently gain access to my personal bank account routing and account numbers! https://t.co/CpQjlnVNef,Revolut,negative,service - digital,,,,
"@HSBC_UK Just say waiting for nearly 15 minutes for it to ring twice and then nothing. I need to reset my account login, I haven’t got time to call back again as I’m very busy. Please PM me and I’ll give you@my number to call https://t.co/dIQAAMXX2r",HSBC,negative,service - digital,,,,
@RevolutApp #LoveYourPetDay  here’s Virgil https://t.co/ZvXy3AR9L0,Revolut,neutral,service - digital,,,,
"@NatWest_Help hi, so since you have moved to Mastercard your service has been worse https://t.co/2nlSeyDl5R",NatWest,negative,service - general,,,,
"@monzo So close to the perfect user number, SO CLOSE! 😩 https://t.co/fe8TQeWMMq",Monzo,positive,general,,,,
"Had an email from this address today, is it genuine @HSBC_UK? https://t.co/YLQe1G4Wka",HSBC,neutral,general,,,,
@RevolutApp is it a regulatory requirement to request my private banking account and routing number?? NO! https://t.co/Et8FeSwzKd,Revolut,neutral,general,,,,
"They sent me this e-mail after l got scammed! It didn't help ofc, they had have to tell me this when l told them someone is trying to scam me (scammers use this one,no idea how they know that)! @RevolutBank @RevolutApp #Revolut #fraud #actionfrauduk #scam @metpoliceuk https://t.co/lnHzb4ztUY",Revolut,negative,fraud,,,,
"@RevolutApp metal customer. Same issue as a few weeks ago. Provide all docs for a fast solution like 3 weeks ago. Again left for more than 20 min with no explanation whatsoever and guaranteed ""can you reinstall the app"" answer if CS returns. Frustrating. Time after time https://t.co/MgecjFkibR",Revolut,negative,service - digital,,,,
"@LloydsBank It was through mylostaccount. It was through registered post and I can share the tracking number of it. I sent it to Dormant &amp; Inactive Team, Andover Service Centre, Charlton Place, Andover, SP10 1RE",Lloyds,negative,service - general,,,,
"@StinkStopthe @JCBmachines @RedIndustries2 @WalleysQ @BGFinvestments, @HSBC_UK, your investment capital may be at risk. Worth an investigation?",HSBC,negative,investors,,,,
@RegGBlinker @shad1126 @RevolutApp @revolut That's @RevolutApp instead... Soz!,Revolut,neutral,general,,,,
"@eon_next hi my direct debit is due in Monday however @HSBC_UK have cashed cancelled checks, if I don’t get it sorted how can I do my payment? They have left me with no money, but we are in credit with our account with you. I’m so stressed by it all as they said it was cancelled",HSBC,negative,service - general,,,,
@XRShef Totally awesome - listed at https://t.co/XZiqOXn0B0 . Feel free to send more info #BetterWithoutBarclays @BarclaysUK #ClimateCrisis #FossilBanksNoThanks,Barclays,negative,activism,,,,
"So @NatWest_Help can you explain why I can’t purchase #cryptocurrency with my new debit card you have sent me?? 
#xrp #btc",NatWest,negative,crpyto,,,,
@santanderukhelp how can I stop overdrafts? Am I able to pop in and ask for this or do I have to call in?,Santander,neutral,service - general,,,,
"@LBGplc A great pity your staff seem to enjoy causing 91 year old housebound widow. It is as if your staff training is none existant. #Appalling #Fail @LloydsBank After 4 calls to ""complaints"" I emailed press office, so you have my details for more info.",Lloyds,negative,service - general,,,,
@santanderukhelp Please change it so its right for the basic account.,Santander,neutral,general,,,,
"@HalifaxBank Hi Laura. I'm sure it was my mum so I'll ask her tomorrow and get back to you. The account is in my name but I've no idea how it's linked to my identity other than by name. I have the account number etc, and I get sent the statements.",Halifax,negative,service - general,,,,
"Revolut Lets Users Book Trips Now, Pay Later | @pymnts  / @NStoronsky / @vyatsenko / @RevolutApp
https://t.co/y88uoVM2JA",Revolut,positive,service - general,,,,
"@LBGplc @LloydsBank widow should have been followed by ""alarm and distress"". Suggesting things like downloading mobile app is just plain stupid. Breach of Equalities Act perhaps?",Lloyds,negative,service - general,,,,
My friend is trying to get to me tonight so I have money to get to the @HSBC_UK to sort out this nightmare. Lesson learned NEVER listen to the advice from your bank …… it gets you into so much trouble. https://t.co/I7OAmKYbBX,HSBC,negative,service - general,,,,
@BarclaysUK what’s the point in blue rewards now? Pay £5 to be given back £5 😂😂😂 Canny way to treat loyalty,Barclays,negative,service - general,,,,
"@JamesDelingpole @LloydsBank So, now we can’t buy what we want?",Lloyds,negative,crpyto,,,,
@HSBC_UK @LorBlossom @HSBC_UK - Could you tell me on which savings accounts will the rates increase and by how much exactly?,HSBC,neutral,inquiry,,,,
@NatWest_Help Thank you :),NatWest,neutral,general,,,,
@LloydsBank If the card is delivered and its a cashpoint card will I have to wait before going to the bank?,Lloyds,neutral,inquiry,,,,
@Wise @monzo You will look  like this if you use Wise.,Monzo,neutral,general,,,,
@NatWest_Help Yeah nice one! 👍🏼 I like being on hold for best part of the day. 👏🏻👏🏻👏🏻,NatWest,negative,service - general,,,,
".
@BorisJohnson has made London the biggest money-laundering center in the world he will not rock the boat
for the banksters who are making big profits 

just look at @BarclaysUK profit increase during covid
. https://t.co/vQQCTCJaee",Barclays,negative,activism,,,,
@LloydsBank How do you suggest I give you the info if you don't have an email address then? If you can't resolve a simple matter like that then looks like it will be a press release at 9am to expose how you treat elderly people.,Lloyds,negative,service - general,,,,
@LloydsBank I have no onfidence or trust in you to send details by DM. It would also be a very long DM. Your press office have my email so I suggest you call them to discuss. Otherwise it will be media release at 9am on multiple failures. @LBGplc @LloydsBankBiz @LloydsBankNews,Lloyds,negative,service - general,,,,
"@LloydsBank Have you sorted out an email address yet for use by ""Customer Service""? If @LloydsBank can't afford an email address Google offer them for free! #FAIL @LBGplc @LloydsBankNews",Lloyds,negative,service - general,,,,
@ActNowSheff @BarclaysUK @thejuicemedia @XRShef @money_rebellion @time2act4world @nicknuttgens @IanDavidMcHugh @LutheBlue @Left_luggage @GreenNewDealUK1 @ShefClimateNews @GrahamWroe @ShefGreenParent @1point5degrees1 Its only got one ball.,Barclays,negative,activism,,,,
@RevolutApp I'm really disappointed that Revolut is forcing me to update my card when is not expiring yet. How come only some ppl are receiving the notification and some others not? My card is registered in so many vendors. I want you to remove me from this upgrade,Revolut,negative,service - general,,,,
@gym_trition @RevolutApp Paper gold is useless. You want to have physical gold but it's expensive,Revolut,negative,crpyto,,,,
"@RevolutApp is there an issue with your app for business banking? I'm trying to register and on ""Where Do You Conduct Business?"". I'm clicking 'UK' then 'Continue' but it won't continue!",Revolut,negative,service - digital,,,,
"@NatWest_Help @PayPal Thank you @NatWest_Help , your reply and DM was really helpful",NatWest,positive,service - general,,,,
"@HalifaxBank I can never use my online banking because it's always blocked and I have to call a number and be on hold for at least 3 hours before I give up. second time in 2 years my login has been blocked. the last time, I had to take an hour off work to visit a branch.",Halifax,neutral,service - digital,,,,
#YouCouldn'tMakeItUp @LloydsBank have a special phone number for over 70's - which they don't tell over 70's about. Not really any surprise they prefer to cause alarm and distress to a 91 year old housebound widow. #FAIL @LBGplc @LloydsBankNews @BBCr4today @JustinDealey,Lloyds,negative,service - general,,,,
@monzo Monzo is always improving 😃,Monzo,positive,service - general,,,,
@tonybrett If @LloydsBank give up now. Most other banks try callimg yhem even now.,Lloyds,negative,service - general,,,,
@nderssonD @JamesDelingpole @LloydsBank I heard it took someone 2 whole years to turn his crypto profit into cash.,Lloyds,negative,crpyto,,,,
@JamesDelingpole @LloydsBank Wait until you try to sell and see how they react to a remittance from a crypto exchange,Lloyds,negative,crpyto,,,,
"@RevolutApp I need to get in contact with you as I lost my phone with my phone number connected to my Revolut and can't log in anymore, its urgent, please help!!",Revolut,negative,service - general,,,,
@crypto_news24 @RevolutApp Hi. I am an admin of a promoter with 280k followers from twitter maybe you want to promote your projects or page with us.Just send me dm for details.. thank you,Revolut,neutral,inquiry,,,,
"hey @RevolutApp, are our funds safe where you hold them, in Lithuania? the war has started apparently",Revolut,neutral,inquiry,,,,
@RevolutApp Done!,Revolut,neutral,general,,,,
"@santanderukhelp Hi, me again. I really need someone to call me today to sort this out. THIS IS URGENT!!!!!",Santander,negative,service - general,,,,
"Tried to set up a new joint account on @monzo - I had a strange message: “we can’t offer you a joint account right now… and we can’t tell you any more about why”. 

I don’t know if the problem is me or them. https://t.co/peNYKeMylP",Monzo,negative,service - general,,,,
"@NatWest_Help Thank you, all done! ☺️",NatWest,neutral,general,,,,
"Recent advert.
Are all those phones with people? I wonder... if any of those addicts will eventually have anything like healthy and productive interactions with other human beings? Or will their lives simply be one long dysfunctional interface Deus Ex-Machina @LloydsBank? https://t.co/nUoVJJP2A2",Lloyds,negative,general,,,,
@RevolutApp I found a Revolut card last night. Do I destroy it or send it back your way? No instructions on the card itself. Thanks.,Revolut,negative,service - general,,,,
@monzo This is very true 🤣,Monzo,neutral,general,,,,
"@monzo I invest in one of the best and fastest growing trading and mining company for Tron (TRX) and other altcoins like Xrp, solana, ADA, shiba and lots more, it's really amazing ... they're professional broker firm. JOIN NOW
Check out. https://t.co/B1MRUGupIG
https://t.co/B1MRUGupIG",Monzo,neutral,inquiry,,,,
@MikeGalloway @LloydsBank This is &lt;£200 !,Lloyds,negative,general,,,,
"@jackdolbs @NatWest_Help $SHINU-SHINJA FLOKI INU

$SHINU is having its stealth launch on the 1st of March on Uniswap between 2PM and 4PM UTC! 🎰

Join Our Communities:
🐾Telegram:https://t.co/e2FaLc7Ysb
🐾Website: https://t.co/Qi8rHMgsWA
🐾Twitter: https://t.co/DLYd0rliMe",Lloyds,neutral,crpyto,,,,
@santanderukhelp Thank you,Santander,neutral,general,,,,
@LloydsBank I am unable to obtain an email address online to submit documents for a deceased client of yours. Could you kindly assist?,Lloyds,negative,service - general,,,,
@santanderukhelp Wonderful isn't it.,Santander,neutral,general,,,,
Lloyds Bank’s profits in the lift as lender’s mortgage book surges to £293bn https://t.co/xyQ7Jm5gC8 #loyds @LloydsBank #Mortgage #Lending,Lloyds,positive,investors,,,,
@monzo They refused to allow me open account with them. No reason given,Monzo,negative,general,,,,
@HalifaxBank I’m at work.  :/   In a shop.,Halifax,negative,service - general,,,,
@RevolutApp pls make it easy to donate to Ukraine through your App 🙏🏽 thx,Revolut,neutral,inquiry,,,,
"@CamSci84 @HSBC_UK @Cambslive ...brought this place in line with many other heritage sites, charging a single person admission price that gives you access to the full property. As a charity, admission fees help fund important conservation work. (2/2)",HSBC,positive,general,,,,
"@santanderukhelp Hello, I want to register for online banking in order to check my mortgage balance. I can't apply online as there is no sort code with a mortgage account. I have been on hold a total of 40 minutes in the last 2 days trying to get through to speak to someone. Can you help?",Santander,negative,service - digital,,,,
@santanderukhelp any idea why your apps suddenly telling me my phones not secure? I haven't downloaded anything or changed any setting?,Santander,negative,service - digital,,,,
@RevolutApp Next payday i will not have to wait for your due to the camera in the office at your desk and then the first MC1 of my head,Revolut,negative,general,,,,
"@BarclaysUK I have been a customer for 20+ years. I have overdrafts with other banks but not with you, I can get a loan elsewhere but not with you. You are one of the least ethical bank there is out there.",Barclays,negative,service - general,,,,
@RevolutApp What happened to #Songbird ?,Revolut,neutral,inquiry,,,,
@HalifaxBank It just says the message function has an error try again later,Halifax,negative,service - digital,,,,
@RevolutApp Next payday I will need you and tomorrow afternoon or Friday morning.,Revolut,neutral,general,,,,
@RevolutApp Next payday I will putin savings,Revolut,neutral,general,,,,
@santanderukhelp is this a Santander number +44 808 280 0801 ?,Santander,neutral,inquiry,,,,
@RevolutApp Next payday I will be have pay,Revolut,neutral,general,,,,
@Pete4pool @RevolutApp Wan try again in English?!?,Revolut,negative,inquiry,,,,
@RevolutApp Next payday I will Flow,Revolut,neutral,general,,,,
"@RevolutApp dear @RevolutApp I followed you as requested, notified you but you haven't contacted me yet via twitter. And I just got yet another mail with request to update my profile...",Revolut,negative,inquiry,,,,
@RevolutApp The Black Metal card is actually black now. Great job! https://t.co/PcKiiBt4zB,Revolut,positive,service - general,,,,
"@RevolutApp Next Payday i will buy #Shib 💯 

#SHIBARMYSTRONG https://t.co/PwC0X4xvpP",Revolut,positive,crpyto,,,,
