,text,sentiment,label
0,"['thank', 'you', '@revolutapp', 'welcome', 'to', 'shibarmy', 'best', 'app', 'if', 'you', 'never', 'before', 'bought', 'crypto', ':-)', 'https://t', 'co/geffafvnfj']",positive,crpyto
1,"['superb', 'sobering', 'article', 'on', 'shameful', 'systemic', 'fraud', 'prevention', 'and', 'customer', 'protection', 'failings', '@lloydsbank', 'stopthescammers', 'https://t', 'co/qojdw2rk3q']",negative,fraud
2,"['after', 'many', 'years', 'of', 'only', 'banking', 'with', '@hsbc_uk', 'thats', 'it', 'i', 'have', 'had', 'enough', 'i', 'just', 'wanted', 'to', 'speak', 'to', 'a', 'human', 'but', 'many', 'hours', 'of', 'internet', 'nonsense', '&amp', 'visits', 'in', 'person', 'to', 'my', 'local', 'branch', '&amp', 'a', 'parking', 'tkt', 'has', 'given', 'me', 'reason', 'to', 'bid', 'farewell', 'tatty', 'bye']",negative,service - general
3,"['just', 'grabbed', 'another', '10000000', '$shib', 'on', 'that', '@revolutapp', 'https://t', 'co/febrouuhif']",positive,crpyto
4,"['@shibainuart', '@shytoshikusama', '@revolutapp', 'love', 'the', 'shib', 'and', 'the', '@revolutapp', 'shiberse', 'shibaarmy', 'https://t', 'co/lrxbkngx6x']",positive,crpyto
5,"['@revolutapp', 'being', 'one', 'of', 'the', '15', 'million', 'users', 'of', 'revolut', 'that', 'holds', 'babydoge', 'when', 'can', 'we', 'expect', '@babydogecoin', 'to', 'be', 'available', 'on', '@revolutapp', 'yours', 'truly', 'babydogearmy', 'https://t', 'co/o4dng9th7m']",negative,crpyto
6,"['just', 'caught', '@revolutapp', 'storing', 'my', 'card', 'information', 'even', 'after', 'deleting', 'it', '@thefca', 'do', 'we', 'have', 'something', 'to', 'protect', 'us', 'against', 'this', 'against', 'holding', 'our', 'unwanted', 'data', 'https://t', 'co/7oyql2zpt5']",negative,service - digital
7,"['$shib:', 'digital', 'bank', 'revolut', 'quietly', 'brings', 'shiba', 'inu', 'to', 'millions', 'of', 'users', '|', 'cryptoglobe', 'amp', '(amp', 'version)', '-', 'never', 'settle', '$shib-', 'the', 'best', 'in', 'your', 'wallet', '@revolutapp', 'https://t', 'co/q6whljgxqg']",positive,crpyto
8,"['@natwest_help', 'can', 'we', 'do', 'this', 'through', 'dm']",neutral,service - general
9,"['@gossipshib', '@revolutapp', 'great', 'job', 'to', 'the', 'moon', 'https://t', 'co/pz6yfwjeuf']",positive,crpyto
10,"['@natwest_help', 'my', 'child', 'trust', 'fund', ""won't"", 'let', 'me', 'verify', 'my', 'bank', 'details-', 'it', 'just', 'says', ""'error"", 'try', 'again', ""later'"", 'i', 'have', 'tried', 'contacting', 'the', 'help', 'line', 'but', 'was', 'left', 'on', 'hold', 'for', '4', 'hours', 'until', 'eventually', 'they', 'had', 'to', 'close', 'for', 'the', 'night']",neutral,service - digital
11,"['@revolutapp', '@mrjosesol', 'please', 'friends', 'dont', 'open', 'the', 'account', 'here', 'they', 'are', 'involved', 'with', 'the', 'haker', 'i', 'lost', 'my', 'money', 'but', 'nobody', 'can', 'help', 'me', 'on', 'the', 'help', 'line', 'if', 'u', 'guys', 'not', 'believe', 'so', 'ill', 'show', 'u', 'the', 'pic', 'i', 'lost', '3000', 'but', 'they', 'cant', 'help', 'https://t', 'co/jczo4tecdi']",negative,crpyto
12,"['@duncangray', '@revolutapp', 'did', 'any', 'of', 'the', 'free', 'shib', 'promotions', 'pan', 'out']",neutral,crpyto
13,"['@revolutapp', '@ftc', '@10tv', '@hillarylake', '@dustinfox37', '@forbes', '@revolutapp', 'employee', 'tried', 'to', 'fraudulently', 'gain', 'access', 'to', 'my', 'personal', 'bank', 'account', 'routing', 'and', 'account', 'numbers', 'https://t', 'co/cpqjlnvnef']",negative,service - digital
